7 4 1 36 1 6 1 18 1 18 1 18 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 7 4 1 138 34 4 8 1 55 21 1 6 1 457 57 1 59 25 1 81 125 1 15 1 111 11 2 
7 4 1 36 1 6 1 18 1 18 1 18 1 5 55 4 61 | 3 7 4 1 74 41 12 1 551 1 4 8 1 9 116 2 
35 7 4 1 36 1 6 1 18 1 18 1 18 1 5 55 4 61 | 3 7 44 63 308 1 18 141 27 159 4 61 2 
22 4 8 | 3 9 5 2 
22 4 8 1 18 43 330 | 3 146 78 9 1 5 239 2 
69 4 5 | 3 31 12 2 
13 1 36 1 6 1 5 55 4 61 | 3 13 1 197 1 282 
33 1 13 1 36 1 6 1 18 1 5 55 4 61 | 3 33 1 13 1 36 1 6 1 196 1 173 2 
7 23 1 15 1 6 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 7 23 1 171 18 146 5 44 19 11 1 18 1 5 25 26 2 
18 22 4 5 | 3 83 41 9 74 2 
69 4 61 | 3 15 82 53 16 2 
110 1 65 1 5 55 4 61 | 3 111 118 2 
1 45 54 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 | 3 1218 2 
17 20 1 18 43 249 172 175 1 5 224 | 3 17 76 11 1 155 194 1 29 9 8 2 
17 20 9 1 47 | 3 111 9 1 151 2 
161 5 10 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 | 3 161 5 11 75 2 
34 6 1 12 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 | 3 34 6 8 1 31 4 1 75 2 
29 9 8 1 12 1 4 8 1 4 8 1 4 8 1 4 8 1 4 8 1 4 8 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 | 3 29 9 8 1 22 4 8 1 13 6 1 279 11 1 4 21 13 1 36 1 6 1 226 5 293 2 
7 14 1 17 21 1 15 1 6 1 5 55 4 61 | 3 7 14 1 17 21 1 6 1 5 124 51 112 2 
34 6 1 12 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 | 3 34 6 1 4 8 1 12 1 132 41 34 4 1 5 55 4 61 2 
7 14 1 17 21 1 15 1 6 1 18 1 18 1 18 1 5 55 4 61 | 3 7 14 1 17 21 1 15 1 69 21 1 6 1 22 13111 4 61 2 
20 22 4 5 | 3 68 5 12 
110 1 75 | 3 111 94 2 
39 16 1 113 1 13 1 6 1 18 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 39 16 1 128 31 133 5 1 33 1 7 4 1 36 1 15 1 55 21 1 6 1 37 4 2 
91 11 22 4 5 1 5 224 | 3 137 552 43 79 4 44 5 2 
29 9 8 1 12 1 4 8 1 4 8 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 | 3 29 9 8 1 229 1 27 1 12 1 19 55 51 8 2 
19 5 1 12 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 | 3 19 8 1 235 11 31 4 1 85 53 16 8 2 
7 4 1 36 1 6 1 18 1 5 55 4 61 | 3 7 4 1 9208 1 153 194 2 
50 49 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 | 3 549 1 37 6 2 
20 22 4 1 18 43 330 | 3 68 1 1226 2 
71 30 1 18 43 249 172 175 1 5 224 | 3 6 19 172 175 1 19 5 75 76 26 2 
18 1 18 43 330 | 3 15 6 1 253 101 301 2 
7 23 1 15 1 6 1 5 55 4 61 | 3 7 51 1 14 1 71 374 2 
12 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 12 1 44 195 26 1 7 1 382 11 1 7 77 2 
39 16 1 17 21 1 15 1 6 1 18 1 5 55 4 61 | 3 39 16 1 19 84 1 17 21 1 12 1 243 59 2 
7 4 1 36 1 6 1 18 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 7 4 1 52 11 62 6 1 13 1 29 9 8 1 5 177 1 47 2 
42 | 3 57 64 2 
33 1 13 1 36 1 6 1 18 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 33 1 13 1 7 68 1 19 5 231 76 26 1 93 1 75 1 57 75 2 
39 16 1 13 1 6 1 18 1 18 1 18 1 5 55 4 61 | 3 51 104 5 1 182 4 1 13 1 57 1 22 14 2 
39 16 1 17 21 1 15 1 6 1 18 1 18 1 18 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 39 16 1 88 64 1 7 1 13 1 74 116 1 6 41 1 18 1 361 8 1 47 1 92 4 105 12 
20 22 4 5 | 3 92 18 129 8 2 
12 1 18 1 18 1 18 1 18 1 18 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 19 1 18 143 4 8 1 47 1 31 4 1 105 1426 8 1 7 1 138 1 99 2 
42 | 3 42 2 
91 | 3 75 63 2 
7 23 1 15 1 6 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 7 51 1 243 41 1 93 1 15 1 12 1 161 5 11 72 177 2 
19 5 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 | 3 12 1 101 163 2 
29 9 8 1 18 43 249 172 175 1 5 224 | 3 59 294 1 132 44 63 124 4 61 2 
69 4 1 75 | 3 88 32 
50 49 37 4 1 6 1 18 1 18 1 18 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 455 5 1 12 1 5 63 11 1 9 282 1 4 8 1 132 44 1 31 51 8 1 62 6 2 
104 26 1 12 1 4 8 1 4 8 1 4 8 1 4 8 1 4 8 1 4 8 1 4 8 1 4 8 1 4 8 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 | 3 104 26 1 29 44 1 61 7 4 1 157 5 1 7 4 1 395 1 102 1 13 1 521 232 
14 26 1 6 1 4 8 1 4 8 1 4 8 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 | 3 14 26 1 4 193 1 111 43 1 467 1 14 1 197 5 2 
42 26 | 3 65 11 2 
7 14 1 17 21 1 15 1 6 1 18 1 18 1 18 1 18 1 18 1 18 1 18 1 18 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 7 14 1 17 21 1 15 1 69 21 1 87 1 6 25 18 105 11 164 1 338 43 1 253 23 5 1 127 1 205 1 6 85 295 1 93 1 105 37 4 2 
7 23 1 15 1 6 1 18 1 18 1 18 1 5 55 4 61 | 3 7 23 1 6 1 68 241 47 1 264 1 57 8 2 
9 339 26 | 3 502 46 44 41 5 2 
12 1 18 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 19 5 1 4 8 1 6 1 222 313 11 25 1 13 2 
69 4 5 | 3 247 44 2 
69 4 1 18 1 18 1 75 | 3 27 19 311 1 29 9 8 2 
20 22 4 5 | 3 41 22 78 2 
1 45 54 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 | 3 223 207 16 2 
33 1 13 1 6 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 39 4 1 27 8 1 253 18 1 39 16 1 7 1 13 1 133 112 2 
1 45 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 | 3 6 79 77 1 65 1 132 11 1 47 1 14 2 
33 1 13 1 36 1 6 1 18 1 18 1 5 55 4 61 | 3 62 1 108 1 104 1 34 4 1 6 1 51 1 6 81 16 2 
29 9 8 1 12 1 4 8 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 | 3 29 9 8 1 21 5 121 8 1 27 2 
14 26 1 6 1 4 8 1 4 8 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 | 3 14 26 1 6 453 5 1 12 1 5 19 12 
35 7 4 1 36 1 6 1 18 1 18 1 18 1 5 55 4 61 | 3 25 1 19 5 129 11 7203 8 2 
59 1 4 8 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 | 3 111 4 59 1 152 
5 10 1 18 43 330 | 3 192 4 11 1 19 176 5 2 
90 84 1 13 1 36 1 6 1 5 55 4 61 | 3 9122 4 1 36 1 82 6 1 72 233 8 2 
33 1 13 1 36 1 6 1 18 1 18 1 5 55 4 61 | 3 33 1 13 1 253 79 4 11 1 152 5 1 18 134 6 118 5 2 
52 1 13 1 36 1 6 1 5 55 4 61 | 3 52 1 7 4 1 94 1 6 1 9 152 
33 1 13 1 6 1 18 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 62 1 155 17 4 1 15 1 384 134 149 1 185 139 5 1 27 2 
55 21 1 7 4 1 6 1 18 1 18 1 18 1 5 55 4 61 | 3 55 21 1 65 1 78 9 1 72 23 8 1 6 1 37 4 2 
1 45 54 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 | 3 171 15 1 202 12 
69 4 1 75 | 3 104 1 34 4 2 
19 5 109 18 48 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 | 3 237 44 1 29 1 326 2 
1 45 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 | 3 6 1 269 1 47 1 114 63 1 29 9 8 2 
142 121 1 12 1 4 8 1 4 8 1 4 8 1 4 8 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 | 3 142 121 1 25 1 55 4 116 1 124 6 1 47 1 399 284 2 
7 23 1 15 1 6 1 18 1 18 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 191 1 27 1 4 21 13 1 311 1 71 374 1 7 51 1 41 112 1 14 2 
7 4 1 36 1 6 1 18 1 18 1 18 1 5 55 4 61 | 3 244 1 42 1 37 4 1 4 8 1 14 1 137 4 2 
18 1 18 43 249 172 175 1 5 224 | 3 18 1 64 41 1 27 326 2 
100 16 1 7 4 1 6 1 5 55 4 61 | 3 151 1 95 14 2 
29 9 8 1 18 43 330 | 3 169 1 5 11 2 
126 1 36 1 6 1 18 1 18 1 5 55 4 61 | 3 126 1 27 1 79 4 1 13 1 6 1 11 112 42 
6 20 1 47 | 3 132 232 9 2 
5 109 18 48 | 3 5 124 273 2 
12 1 18 1 18 1 18 1 5 55 4 61 | 3 12 1 129 235 1 276 1 65 2 
39 16 1 17 21 1 15 1 6 1 18 1 18 1 5 55 4 61 | 3 39 16 1 69 4 1 7 4 1 114 161 11 13 6 1 91 2 
7 4 1 36 1 6 1 18 1 18 1 5 55 4 61 | 3 7 4 1 65 1 6 1 41 46 71 495 2 
161 109 18 48 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 | 3 87 12 5 312 11 2 
59 | 3 189 112 2 
14 26 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 | 3 14 26 1 155 8 37 4 2 
14 26 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 | 3 14 26 1 86 426 9 87 12 
22 306 1 113 | 3 46 158 48 2 
29 9 8 1 4 8 1 18 1 18 43 330 | 3 85 53 8 11 1 15 1 138 1 59 62 85 5 2 
29 9 8 1 12 1 4 8 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 | 3 29 9 8 1 34 14 1 126 1 27 1 236 2 
1 45 54 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 | 3 71 372 23 2 
62 6 1 4 8 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 | 3 62 6 1 14 1 4 8 2 
16 84 1 7 4 1 6 1 18 1 5 55 4 61 | 3 16 84 1 17 21 1 15 1 282 2 
42 1 13 1 6 1 18 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 42 1 7 1 31 4 1 568 155 4 44 8 1 25 1 253 82 61 2 
108 1 17 21 1 15 1 6 1 5 55 4 61 | 3 108 1 67 41 1 19 143 4 19 11 2 
1 45 54 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 | 3 6 1 27 206 2 
17 20 22 4 61 1 18 43 330 | 3 79 504 17 1 19156 2 
7 4 1 36 1 6 1 18 1 18 1 18 1 18 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 7 4 1 13 8 1 246 286 26 1 69 4 11 1 164 1 249 169 329 1 18 101 9 19 87 26 2 
9 20 22 4 5 | 3 22 2118 78 2 
21 5 109 18 48 | 3 19 48 2 
67 1 75 1 18 43 330 | 3 67 85 9 1 27 129 2 
69 4 5 | 3 27 12 
16 84 1 7 4 1 6 1 18 1 18 1 18 1 5 55 4 61 | 3 16 84 1 17 21 1 15 1 81 16 1 7 77 1 164 1 27 2 
71 20 10 1 47 | 3 15 78 41 46 176 2 
110 1 113 1 36 1 6 1 5 55 4 61 | 3 111 197 1 47 2 
7 14 1 17 21 1 15 1 6 1 5 55 4 61 | 3 7 14 1 17 21 1 6 1 249 155 329 1 197 2 
18 1 18 43 330 | 3 18 1 86 261 2 
 | 3 346 2 
93 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 | 3 93 9 1 65 2 
182 4 1 18 1 18 1 18 1 18 43 330 | 3 199 1 92 18 44 11 1 19 5 1 177 278 5 2 
33 1 13 1 36 1 6 1 18 1 18 1 18 1 5 55 4 61 | 3 33 1 13 1 65 1 15 1 81 16 1 103 34 6 1 407 5 2 
1 45 54 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 24 1 32 66 | 3 81 16 1 1157 12 2 
42 1 17 21 1 15 1 6 1 5 55 4 61 | 3 42 1 7 1 13 1 106 178 2 
68 5 | 3 379 78 2 
126 26 1 12 1 12 1 18 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 135 11 6 1 9 212 1 155 337 1 6 17 76 11 1 12 1 4 6 8 2 
13 1 36 1 6 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 13 1 36 1 15 1 33 1 14 1 101 128 43 1 42 2 
7 14 1 17 21 1 15 1 6 1 18 1 18 1 5 55 4 61 | 3 7 14 1 17 21 1 15 1 69 21 6 1 67 11 53 233 2 
7 23 1 15 1 6 1 5 55 4 61 | 3 13 6 1 99 1 75 18 11 2 
7 4 1 36 1 6 1 18 1 18 1 18 1 5 55 4 61 | 3 7 4 1 36 1 102 59 6 1 137 5 43 92 4 61 2 
7 23 1 15 1 6 1 5 55 4 61 | 3 67 6 1 169 1 173 11 2 
7 23 1 15 1 6 1 18 1 18 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 7 23 1 99 9 1 104 1 7 4 1 9208 1 123 132 1 13 6 1 91 2 
16 84 1 7 4 1 6 1 18 1 18 1 18 1 5 55 4 61 | 3 16 84 1 202 16 1 27 1 12 1 86 144 1 65 2 
7 4 1 36 1 6 1 18 1 18 1 5 55 4 61 | 3 7 4 1 16 11 1 17 4 41 15 1 512 1 95 16 2 
67 64 1 18 43 249 172 175 1 5 224 | 3 67 64 1 19 61105 12 
108 1 13 1 6 1 18 1 18 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 108 1 12 8 1 12 1 17 5 11 49 5 1 25 1 136 225 1 9 41 2 
7 4 1 36 1 6 1 18 1 18 1 18 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 7 4 1 67 134 1 12 1 111 5 11 47 1 83 41 9 74 1 19 5 1 4 6 2 
90 84 1 13 1 36 1 6 1 18 1 18 1 18 1 18 1 5 55 4 61 | 3 9283 1 36 1 103 1 82 6 1 41 22 11 29 9 8 2 
22 4 8 | 3 9 41 2 
11 118 | 3 3211 118 2 
134 6 1 4 8 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 6 1 | 3 17 5 11 4 6 8 1 92 4 68 8 2 
149 | 3 79 53 16 2 
42 1 18 43 330 | 3 199 8 1 159 23 2 
5 82 9 5 | 3 5 224 1 143 18 2 
12 1 18 1 18 1 18 1 5 55 4 61 | 3 12 1 17 18 1 4 8 1 59 48 2 
16 84 1 7 4 1 6 1 18 1 5 55 4 61 | 3 16 84 1 91 1 27 1 149 2 
